lemma	pos	semantic_tags
ak-47	NOUN	G3
ak-47s	NOUN	G3
ak-74	NOUN	G3
ak47	NOUN	G3
amm	PROPN	Z3c
ammb	PROPN	Z3c
anc	NOUN	G1.2/S5
anc	PROPN	Z3c
ansi	PROPN	Z3/Q1.3
ao	PROPN	P1
aob	NOUN	X4.1
aol	PROPN	Z3c/Y2
ap	PROPN	Z3c
apb	NOUN	G2.1/Q1.1
apc	NOUN	P1
apex	NOUN	M5/Q1.2 M3/Q1.2
api	PROPN	Z3/Q4.2
apm	NOUN	I1/K1
apmc97	PROPN	Z3
apr	NOUN	I1.2 I1.3
apt	NOUN	A11.1+
aqha	PROPN	Z3c
ari	PROPN	Z3c
ars57	NOUN	G2.1/M4/S2.2
arsp73	NOUN	G2.1/M4/S2.2
afro-colombianen	NOUN	Z2/S2mf
afta	PROPN	Z3c
agassi	PROPN	Z1mf
agatha	PROPN	Z1f
agfa	PROPN	Z3c
aggra	PROPN	Z2
agila	NOUN	L3
agincourt	PROPN	Z2
agnes	PROPN	Z1f
agora	PROPN	Z2
ah-ha	INTJ	Z4
aha	INTJ	Z4
ahab	PROPN	Z1m
ahhh	INTJ	Z4
ahmadiyya	PROPN	S9/S2mf
aida	PROPN	Z3
helpen	VERB	S8+
aiden	PROPN	Z1m
aigle	PROPN	Z3c
aintree	PROPN	Z1m
airbus	NOUN	M5
airdree	PROPN	Z2 Z3c
airedale	PROPN	Z2
airfix	PROPN	Z3c
luchtdicht	ADJ	A1.7+ O4.1 A5.3+
airtour	PROPN	Z3c
airway	PROPN	Z3c
aitken	PROPN	Z1mf
ajax	PROPN	Z3c Z1m
akan	PROPN	Z2/S2mf
akela	NOUN	K1/S2mf
akhbar	PROPN	Z1m
akinoglu	PROPN	Z1
akira	PROPN	Z1m
akomo	PROPN	Z2c
akon	PROPN	Z3
al	PROPN	Z1m
aladdin	PROPN	Z3 Z1m
alam	PROPN	Z1m
alan	PROPN	Z1m
alarg	PROPN	Z2
alaska	PROPN	Z2
alastair	PROPN	Z1m
alban	PROPN	Z2 Z1m
albanië	PROPN	Z2
albanees	ADJ	Z2
albanees	NOUN	Z2/S2mf
albanezen	NOUN	Z2/S2mf
albans	PROPN	Z2
albany	PROPN	Z1m Z2
alberfuera	PROPN	Z2
albermyle	PROPN	Z2 Z1mf
albert	PROPN	Z1m
alberto	PROPN	Z1m
albion	PROPN	Z3c Z2
alcatraz	PROPN	Z2 Z3c
alcester	PROPN	Z2
alco	PROPN	Z3c
aldborough	PROPN	Z2
aldenbury	PROPN	Z2
alderbury	PROPN	Z2
aldershot	PROPN	Z2
aldgate	PROPN	Z2
aldridge	PROPN	Z2 Z1mf
aldrow	PROPN	Z2
alec	PROPN	Z1m
alegan	PROPN	Z3c
alensheare	PROPN	Z3c
alenthorpe	PROPN	Z2
alex	PROPN	Z1mf
alexander	PROPN	Z1m
alexandra	PROPN	Z1f
alexandrië	PROPN	Z1f Z2
alexandrijns	ADJ	Z2
alexandrijns	NOUN	Z2/S2mf
alexandrina	PROPN	Z1f
alf	PROPN	Z1m
alfa	PROPN	Z3c Z5
alfred	PROPN	Z1m
algarve	PROPN	Z2
algebra	NOUN	N2
algerije	PROPN	Z2
algerijns	ADJ	Z2
algerijns	NOUN	Z2/S2mf
algiers	PROPN	Z2
ali	PROPN	Z1mf
aliai	PROPN	Z3c
alicante	PROPN	Z2
alice	PROPN	Z1f
alison	PROPN	Z1f
alistair	PROPN	Z1m
alitalia	PROPN	Z3c
all-england	ADJ	M7
all-souls	PROPN	Z3
allah	PROPN	Z1 Z1/S9
allan	PROPN	Z1m
allaston	PROPN	Z2
alldays	PROPN	Z3c
allders	PROPN	Z3c Z1mf
allen	PROPN	Z1mf
allerdale	PROPN	Z2
allerton	PROPN	Z1mf
alleyn	PROPN	Z1mf
alliance	PROPN	Z3c
allie	PROPN	Z1f
geallieerden	NOUN	S5+
allingham	PROPN	Z1mf
alloa	PROPN	Z2 Z3c
almarose	PROPN	Z3c
almeida	PROPN	Z3c
almachtige	NOUN	Z1/S9
alnwick	PROPN	Z2
alouitius	PROPN	Z1m
alpasso	PROPN	Z2
alfa	NOUN	W1 X9.2+
alphonsus	PROPN	Z1m
alpiniste	PROPN	Z3
alpen	PROPN	Z2 M7 W3
elzas	PROPN	Z2 F2@
elzasser	NOUN	Z2/S2mf Z2/Q3
elzasser	ADJ	Z2 Z2/Q3
alston	PROPN	Z2
afwisselend	ADV	A6.3+ A6.1-
alton	PROPN	Z1mf
altrincham	PROPN	Z2 Z3c
altringham	PROPN	Z2
alum	PROPN	Z2
alytalia	PROPN	Z3c
alzheimer	PROPN	Z1mf B2-
amal	PROPN	Z3
amalfi	PROPN	Z2
amanah	PROPN	Z3c
amanda	PROPN	Z1f
amazonas	NOUN	S2.1f
amazonas	PROPN	Z2 M7
amazon.co.uk	PROPN	Z3c/Y2
amazon.com	PROPN	Z3c/Y2
amazon.de	PROPN	Z3c/Y2
amazoniaan	NOUN	Z2/S2mf
amazoniaans	ADJ	Z2 S1.2.5+
ambassadeur	NOUN	G1.1/S2mf S1.1.1/S2mf
amber	PROPN	Z1f
amberley	PROPN	Z2
ambler	PROPN	Z1 Z1/Q1.2
ambleside	PROPN	Z2 Z3c
amboseli	PROPN	Z2
ambrose	PROPN	Z1m
ambulant	ADJ	M1
amcom	PROPN	Z3c
ameco	PROPN	Z3c
amelia	PROPN	Z1f
amerika	PROPN	Z2
amerikaan	NOUN	Z2/S2mf M2 I1/A1.4%
amerikaans	ADJ	Z2
amerikanisme	NOUN	Z2
amerikanismen	NOUN	Z2
amerikanisering	NOUN	Z2/A6.1+
amerikaniseren	VERB	Z2/A6.1+
americano	NOUN	F2
americano's	NOUN	F2
amerikanen	NOUN	Z2/S2mf
amerika's	PROPN	Z2
amerindiaans	PROPN	Z2/S2mf
amerindianen	PROPN	Z2/S2mf
amersham	PROPN	Z2
amey	PROPN	Z3
amhara	PROPN	Z2/S2mf
amiga	PROPN	Z3c
amin	PROPN	Z1m
amlarose	PROPN	Z3
ammal	PROPN	Z3
ammoniet	NOUN	T1.1.1/S5 T1.1.1/S1.2.1-/S2mfc S9 G3 F4/O1
amnesty	PROPN	Z3c
amos	PROPN	Z1m
ampang	PROPN	Z2
ampstead	PROPN	Z2
amstead	PROPN	Z2
amsteel	PROPN	Z3c
amsteel-owner	PROPN	Z3c/A9+
amsterdam	PROPN	Z2
amstrad	PROPN	Z3c
amundsen	PROPN	Z1
amway	PROPN	Z3c
amy	PROPN	Z1f
anadin	PROPN	Z3
anesthesisten	NOUN	B3/S2mf
ananda	PROPN	Z1m
anasey	PROPN	Z2
anatolisch	ADJ	Z2
anatomisch	ADJ	B1
andalusië	PROPN	Z2
andersen	PROPN	Z1
anderson	PROPN	Z1mf
andes	PROPN	Z2
anding	PROPN	Z2
andorra	PROPN	Z2 Z3c
andorraner	NOUN	Z2/S2mf
andorranen	NOUN	Z2/S2mf
andover	PROPN	Z2
andré	PROPN	Z1m
andrea	PROPN	Z1f
andreotti	PROPN	Z1mf
andrew	PROPN	Z1m
anette	PROPN	Z1f
anfield	PROPN	Z2
angel	PROPN	Z2
angelnet	PROPN	Z3c/Y2
angela	PROPN	Z1f
angeles	PROPN	Z2
angelica	PROPN	Z1f
angelo	PROPN	Z1m
angie	PROPN	Z1f
angiers	PROPN	Z2
angio	PROPN	Z1m
anglesey	PROPN	Z2
anglicaans	ADJ	S9
anglicaan	NOUN	S9
anglicanisme	NOUN	S9
anglicisme	NOUN	Q3 Z2
anglo	ADJ	Z2
anglo-katholiek	ADJ	S9
anglo-katholiek	NOUN	S9/S2mf
anglo-nederlands	ADJ	Z2
anglo-frans	ADJ	Z2
anglo-indisch	ADJ	Z2 Q3
anglo-indiër	NOUN	Z2/S2mf
anglo-saksisch	ADJ	Q3
anglo-saksen	NOUN	Z2/S5 Q3
anglofone	NOUN	Q3/Z2/S3mf
angola	PROPN	Z2
angolees	ADJ	Z2
angolees	NOUN	Z2/S2mf
angolezen	NOUN	Z2/S2mf
anguilla	PROPN	Z2
angulin	PROPN	Z2
angus	NOUN	Z1m
angus	PROPN	Z1m
anhwei	PROPN	Z2
ania	PROPN	Z1f
animisme	NOUN	S9
anis	PROPN	Z1m
anita	PROPN	Z1f
ankara	PROPN	Z2
anna	PROPN	Z1f
annabel	PROPN	Z1f Z3c
annapurna	PROPN	Z2
anne	PROPN	Z1f
annerdimes	PROPN	Z3c Z1mf
annette	PROPN	Z1f
annie	PROPN	Z1f
annunciatie	NOUN	S9
ansai	PROPN	Z1
anseal	PROPN	Z3
ansell	PROPN	Z1mf
anston	PROPN	Z2
answorth	PROPN	Z2
antal	PROPN	Z3c
antara	PROPN	Z3c
antarctisch	PROPN	M7
antarctisch	ADJ	M7
antarctica	PROPN	Z2
aardvark	NOUN	L2
anthony	PROPN	Z1m
antropologie	NOUN	S1.1.1 X2.4/S2 P1/S2
antikriegs-	ADJ	G3/E2-
antichrist	NOUN	S9 Z1m/E2- G2.2-
antichristen	NOUN	Z1m/E2- S9 G2.2-
antigua	PROPN	Z2
antiguanen	PROPN	Z2/S2mf
antillen	PROPN	Z2
antiochië	PROPN	Z2
antipoden	PROPN	Z2
anton	PROPN	Z1m
antonella	PROPN	Z1f
antonia	PROPN	Z1f
antonio	PROPN	Z1m
antony	PROPN	Z1m
antram	PROPN	Z2
antrim	PROPN	Z2
antwerpen	PROPN	Z2 Z3c
anyaoku	PROPN	Z1mf
anzac	NOUN	G3
aokam	PROPN	Z3c
aorta	NOUN	B1
aoun	PROPN	Z1mf
apache	NOUN	Z2/S2mf Z2/Q3
aparoma	NOUN	B2-
aparscorosis	NOUN	B2-
apax	PROPN	Z3c
apennijnen	PROPN	Z2 M7
aphrodite	PROPN	S9/Z1f
apiit	PROPN	Z3c/P1
openbaring	NOUN	S9/Q4.1 A10+
apollo	PROPN	Z3m
appenzell	PROPN	Z3/F1
apple	PROPN	Z3c
apple1	PROPN	Z3/Y2
apple2	PROPN	Z3/Y2
appleby	PROPN	Z2 Z1mf
apr.	PROPN	T1.3
april	PROPN	T1.3 Z1f Z3f
apsley	PROPN	Z3c
aqua	PROPN	Z3c
aquadry	PROPN	B5/Z3c
aquariaans	ADJ	S9
aquarius	NOUN	S9/S2mf
aquariërs	NOUN	S9/S2mf
aquarius	PROPN	S9
aquascutum	PROPN	Z3c
aquinas	PROPN	Z1
aquitanië	PROPN	Z2
arabisch	ADJ	Z2 Z2/Q3
arabiër	NOUN	Z2/S2mf
arab-maleisië	PROPN	Z2
arab-maleisisch	PROPN	Z2
arab-maleisisch	ADJ	Z2
arabie	PROPN	Z2
arabisch	NOUN	Z2/S2mf Z2/Q3
arabica	NOUN	F2/L2 Z3 F2/L3
arabiërs	NOUN	Z2/S2mf
aragon	PROPN	Z1m Z2
arakanese	PROPN	Z2/S2mf
aran	PROPN	Z2
arancha	PROPN	Z1f
arbo	PROPN	Z3c
arboo	PROPN	Z3c
arborio	NOUN	F1 A4.1
arbos	PROPN	Z3c
arbroath	PROPN	Z2 Z3c
arcadië	PROPN	Z3c
arcadisch	PROPN	Z3c
aartsbisschop	NOUN	S9/S2mf S9/S7.1+/S2mf
aartsbisdom	NOUN	S9 S9/S7.1+ S9/M7
aartsbisschoppen	NOUN	S9/S2mf S9/S7.1+/S2mf
archeli	PROPN	Z3c
boogschutter	NOUN	K5.1/S2mf G3/S2.2m
archer	PROPN	Z1mf
archers	PROPN	Z3c Z1mf
boogschieten	ADJ	Z3
archetype	NOUN	A4.1 A4.2+
archetype	PROPN	Z3c
archibald	PROPN	Z1m
archie	PROPN	Z1m
archimandriet	NOUN	S9/S2m S9/S7.1+/S2.2m
arctisch	PROPN	Z2
arctrex	PROPN	Z3c
arden	PROPN	Z2
ardennen	PROPN	Z2
ardmell	PROPN	Z3c
ardrishaig	PROPN	Z2
ardwick	PROPN	Z2
argan	PROPN	Z3
argentinië	PROPN	Z2 Z3c
argentijn	NOUN	Z2/S2mf
argentijns	PROPN	Z2/S2mf
argentijnen	PROPN	Z2/S2mf
argentijnen	NOUN	Z2/S2mf
arg	INTJ	Z4
argo	PROPN	Z3c
argos	PROPN	Z3c Z2
argyle	PROPN	Z2
argyll	PROPN	Z2 Z3c
ariaans	ADJ	S5+
ariel	PROPN	Z1mf
ram	PROPN	S9 S9/S2mf
aristoteles	PROPN	Z1m
arizona	PROPN	Z2 Z3c
ark	PROPN	Z3c
arlacino	PROPN	Z1m/K4 Z3c E4.1+/S2m
arlecchino	PROPN	Z1m/K4 Z3c E4.1+/S2.2m
arles	PROPN	F1 Z2/F1
arlington	PROPN	Z2
vloot	NOUN	G3/M4 M4 M4c M3c
armageddon	PROPN	A1.1.2
armagnac	PROPN	F2
armani	PROPN	Z1m Z3c
armenië	PROPN	Z2
armeniër	NOUN	Z2/S2mf
armeens	ADJ	Z2
armeniërs	NOUN	Z2/S2mf
armitage	PROPN	Z1mf Z3c
armstrong	PROPN	Z1mf Z3c
arndale	PROPN	Z2
arndales	PROPN	Z3c
arnley	PROPN	Z2
arnold	PROPN	Z1mf
aroma	NOUN	X3.1 X3.5
aromatherapie	NOUN	B3
arr	PROPN	Z2
arrad	PROPN	Z3
arran	PROPN	Z2 Z1m
arremanche	PROPN	Z2
arrundel	PROPN	Z2
arrundell	PROPN	Z2
arrup	PROPN	Z3c Z1mf
arrups	PROPN	Z3c
arry	PROPN	Z1m
arsonium	PROPN	O1.1
artemide	PROPN	Z1m
arthur	PROPN	Z1m
artillerie	PROPN	Z2
artillerie	NOUN	G3c G3 G3/S5c
artois	PROPN	Z1mf Z3c
arundel	PROPN	Z2 Z3c
arvon	PROPN	Z2
asa	NOUN	L3
asa	PROPN	Z1m
asante	PROPN	Z2/S2mf
ascots	PROPN	Z3c
asda	PROPN	Z3c
ashby-de-la-zouche	PROPN	Z2
ashdon	PROPN	Z2
ashdown	PROPN	Z1mf
ashfeld	PROPN	Z2
ashfield	PROPN	Z2
ashford	PROPN	Z2
ashgate	PROPN	Z2
ashington	PROPN	Z2 Z3c
ashley	PROPN	Z1mf
ashlington	PROPN	Z2
ashridge	PROPN	Z2
ashtod	PROPN	Z2
ashton	PROPN	Z2 Z1mf
ashwood	PROPN	Z2 Z1mf
azië	PROPN	Z2
azië-pacific	ADJ	Z2 M7
asiamoney	PROPN	Z3c
aziat	NOUN	Z2/S2mf
aziatisch	ADJ	Z2
asiatisch-fusie	ADJ	Z2/A1.8+
aziaten	NOUN	Z2/S2mf
aspasia	PROPN	Z1f
astrologie	NOUN	S9 P1/W1
athener	ADJ	Z2
athener	NOUN	Z2/S2mf
atlantische	PROPN	Z2
augustijner	ADJ	S9
australiër	NOUN	Z2/S2mf
australiërs	NOUN	Z2/S2mf Z2
australaziatisch	ADJ	Z2
australaziatisch	NOUN	Z2/S2mf
oostenrijks-hongaars	ADJ	Z2
oostenrijks-hongaars	NOUN	Z2/S2mf
oostenrijks	ADJ	Z2
oostenrijker	NOUN	Z2/S2mf
oostenrijkers	NOUN	Z2/S2mf
autobaan	X	M3
hulp	ADJ	S7.1- Q3 S8+
hulp	NOUN	B3/S2mf Q3 S8+ B2- S8+/S2mf
axioma's	NOUN	X4.1
ayatollah	NOUN	S9/S2.2m S9/S7.1+
azerbeidzjaan	NOUN	Z2/S2mf
azerbeidzjaans	ADJ	Z2
azerbeidzjanen	NOUN	Z2/S2mf
azteken	NOUN	T1.1.1/S2mf
barbecue	NOUN	F1
bmw	NOUN	Z3/M3
bmw's	NOUN	Z3/M3
balkans	ADJ	Z2 Z2/S2mfnc
balkan	PROPN	Z2
ballen	NOUN	Z4 O2 O2/O4.4 K5.1 B1 K1 Q2.2 B1%
baltisch	ADJ	Z2 Z2/S2mfnc
banto	ADJ	Z2/S2mf Z2/Q3
doopsgezinde	NOUN	S9/S2mf
doopsgezind	ADJ	S9
doopsgezinden	NOUN	S9/S2mf
barbadian	ADJ	Z2
barbadian	NOUN	Z2/S2mf
barbadianen	NOUN	Z2/S2mf
barbados	PROPN	Z2 Z3c
barbara	PROPN	Z1f
barber	PROPN	Z1mf
barbican	PROPN	Z2 Z3c
barbie	PROPN	Z3f
barbies	PROPN	Z3f
barbour	PROPN	B5/Z3c
barbuda	PROPN	Z2
barbudanen	PROPN	Z2/S2mf
barcelona	PROPN	Z2 Z3c
barclay	PROPN	Z3c Z1mf
barclaycard	PROPN	I1.1/O2/Q1.1
barclays	PROPN	Z3c
barco	PROPN	Z1mf
bardot	PROPN	Z1mf
barents	PROPN	Z2
bari	PROPN	Z2
barker	PROPN	Z1mf
barlow	PROPN	Z1mf
barnabus	PROPN	Z1m
barnados	PROPN	Z3c Z1mf
barnard	PROPN	Z1mf
barnardo	PROPN	Z1mf
barnardos	PROPN	Z3c Z1mf
barnes	PROPN	Z2 Z1mf
barnesandnoble.com	PROPN	Z3c/Y2
barnet	PROPN	Z2 Z1mf
barnett	PROPN	Z1mf
barney	PROPN	Z1mf
barnforth	PROPN	Z1mf
barnham	PROPN	Z1mf
barnic	PROPN	Z1mf
barnmouth	PROPN	Z2
barnsley	PROPN	Z2
barnstaple	PROPN	Z2
barnum	PROPN	Z1m Z3
baron	NOUN	S7.1+/S2.2m
baron	PROPN	Z1mf
barones	PROPN	S7.1+/S2.1f
baronet	NOUN	S7.1+/S2.2m
baronet	PROPN	S7.1+/S2.2m
barok	NOUN	T1.1.1 C1 K2
barr	PROPN	Z1mf
barratt	PROPN	Z1mfc
barratts	PROPN	Z3c Z1mf
barrie	PROPN	Z1mf
pleitbezorgers	NOUN	G2.1/S2mf
barrow	PROPN	Z2 Z1mf Z3c
barry	PROPN	Z1mf Z2
barrymore	PROPN	Z1mf Z3c
barrytown	PROPN	Z2
bart	PROPN	Z1m
bartholomeus	PROPN	Z1m
bartok	PROPN	Z1mf
barton	PROPN	Z1mf Z2
barts	PROPN	Z3c
basarwa	PROPN	Z2/S2mf
bazel	PROPN	Z2
basham	PROPN	Z1m
basjkieren	PROPN	Z2/S2mf
basics	PROPN	Z3
basil	PROPN	Z1m
basilicum	NOUN	F1 L3 F2
basildon	PROPN	Z2
basingbourne	PROPN	Z2
basingstoke	PROPN	Z2
baskerville	PROPN	Z1mf
basmati	NOUN	F1
basotho	PROPN	Z2/S2mf
baskisch	NOUN	Z2/S2mf Z2/Q3 B5%
baskisch	ADJ	Z2/S2mf Z2/Q3 Z2
bassow	PROPN	Z2
bastille	NOUN	Z2
bastow	PROPN	Z2
basu	PROPN	Z1mf
bateman	PROPN	Z1
bates	PROPN	Z1mf
bath	PROPN	Z2 Z3c
bathgate	PROPN	Z2
batik	NOUN	C1 O1.1 A1.1.1/C1
batman	PROPN	Z3m
batswana	PROPN	Z2 Z2/S2mf
battersea	PROPN	Z2
battini	PROPN	Z3c
battleford	PROPN	Z2
baume	PROPN	Z1m
beieren	PROPN	Z2
beiers	ADJ	Z2
bawdsley	PROPN	Z2
baydon	PROPN	Z1mf
bayeux	PROPN	Z2
bayonne	NOUN	F1 A4.1
bayswater	PROPN	Z2
baywatch	PROPN	Z3c
baz	PROPN	Z1mf
bazaar	PROPN	Z3c
bcal	PROPN	Z3c
beachers	PROPN	Z3c
beacon	PROPN	Z3c
beacons	PROPN	Z2 Z3c
beaconsfield	PROPN	Z2
beade	PROPN	Z1mf
beales	PROPN	Z3c Z1mf
beaman	PROPN	Z1mf
beardon	PROPN	Z1mf
bearsden	PROPN	Z2
beatles	PROPN	Z3c/K2
beatrice	PROPN	Z1f
beattie	PROPN	Z1mf
beatty	PROPN	Z1mf
beau	PROPN	Z1m
beaulieu	PROPN	Z2
beaumont	PROPN	Z1mf Z3 Z2
beaupre	PROPN	Z2
beauty	PROPN	Z3mfn
bever	NOUN	L2mfn K1/S2.2m L2
beavers	PROPN	Z3c
beawar	PROPN	Z2
beazer	PROPN	Z3c
becca	PROPN	Z1f
bechtel	PROPN	Z3c
beckenham	PROPN	Z2
becker	PROPN	Z1mf
beckhalls	PROPN	Z2
beckton	PROPN	Z1mf
becky	PROPN	Z1f
beconsfield	PROPN	Z2
bedales	PROPN	Z3
beddgelert	PROPN	Z2
beddows	PROPN	Z3c
bedford	PROPN	Z1mf Z2 Z3
bedfords	PROPN	Z3c
bedfordshire	PROPN	Z2
bedlingdons	NOUN	L2mfn
bedlington	PROPN	Z2
bedlow	PROPN	Z2
bedoeïeen	NOUN	Z2/S2mf
beeb	PROPN	Z3
beecham	PROPN	Z1mf Z2
beefeater	PROPN	Z3c
beeko	PROPN	Z1m
beesands	PROPN	Z2
gedrag	NOUN	S1.1.1 A1.1.1
wit-rus	NOUN	Z2/S2mf Z2/S2.2mf
wit-russisch	ADJ	Z2
wit-russen	NOUN	Z2/S2mf
belgiër	NOUN	Z2/S2mf
belgisch	ADJ	Z2
belgen	NOUN	Z2/S2mf
belizeaan	NOUN	Z2/S2mf
belizeanen	NOUN	Z2/S2mf
benedictijn	NOUN	S9/S2mf
benelux	NOUN	M7
bengaals	NOUN	Z2/S2mf Z2/Q3
bengaals	ADJ	Z2 Z2/Q3
berbers	ADJ	Z2 Z2/Q3
berber	NOUN	Z2/S2mf
beryl	NOUN	O1.1
bijbels	ADJ	S9/Q4.1
biotechnologie	NOUN	I4/Y1/L1 Y1 Y1/L1 Y1/B3
biochemicus	NOUN	Y1/S2mf Y1/L1/S2mf Y1/B1/S2mf
bisschop	NOUN	S9/S2m S9/S7.1+/S2mf
bliksemaanslag	NOUN	G3 A1.7+
blok	NOUN	S5+c G1.1/S5+c
boer	NOUN	Z2/S2mf X3.2 S1.2.4-/S2mf X9.1-/S2mf F4/S2mf O4.2-/S2mf C1-/S2mf S1.2.6-/S2mf
bohemic	NOUN	C1/S2mf A6.2+/S2mf
bohems	ADJ	C1 A6.2+
bolero	NOUN	K1 B5
boliviaan	NOUN	Z2/S2mf
boliviaans	ADJ	Z2
bolsevik	NOUN	G1.2/S2mf
bolsevik	ADJ	G1.2/X2.1
bolsewisme	NOUN	G1.2/X2.1
bonnie	PROPN	Z1f
bonny	PROPN	Z1mf
bonwick	PROPN	Z3c
botte	ADJ	B1
boekband	NOUN	Q4.1 Q4.1/A1.1.1
booker	PROPN	Z1mf Z2 Z3
bookhouse	PROPN	Z3
bookpages	PROPN	Z3c/Y2
bookwood	PROPN	Z2
booleaans	ADJ	Y2
boon	PROPN	Z3c Z1mf
gunst	NOUN	S8+ E2++
bootle	PROPN	Z2
boots	PROPN	Z3c
bordeaux	PROPN	Z2 F2
border	PROPN	Z3c
bordino	PROPN	Z1
boreham	PROPN	Z1mf
borge	PROPN	Z1mf
borlays	PROPN	Z3c
borneo	PROPN	Z2
boroughs	PROPN	Z3c Z1mf
borrowdale	PROPN	Z2
borsch	PROPN	Z3c F1 Z1mf
borstal	NOUN	G2.1/H1c T3-/G2.1/H1
bosch	PROPN	Z3c
bosnië	PROPN	Z2 Z3c
bosnië-herzegovina	PROPN	Z2
bosniër	NOUN	Z2/S2mf
bosnisch	ADJ	Z2
bosnisch-moslim	ADJ	Z2
bosniërs	NOUN	Z2/S2mf
bosphorus	PROPN	Z2
bosporus	NOUN	Z2
bostick	PROPN	Z3
boston	PROPN	Z2
boswell	PROPN	Z3 Z1
botswana	PROPN	Z2
bottomley	PROPN	Z1mf
boud	PROPN	Z1
bougue	PROPN	Z2
boulangerie	PROPN	F1/H1
bourbon	PROPN	Z1mf
bourne	PROPN	Z1mf
bournehill	PROPN	Z2
bournemouth	PROPN	Z2
bournmouth	PROPN	Z2
bournville	PROPN	Z3c Z2
bovis	PROPN	Z3c Z1mf
bovril	PROPN	Z3
bow	PROPN	Z2
bowater	PROPN	Z3c
bowden	PROPN	Z2
bowen	PROPN	Z1mf
bowerings	PROPN	Z3c
bowey	PROPN	Z1mf
bowie	PROPN	Z1mf
bowland	PROPN	Z2
bowles	PROPN	Z1mf
bowmaker	PROPN	Z3c
bowood	PROPN	Z2
bowsers	PROPN	Z3c
boyston	PROPN	Z3c
bozan	PROPN	Z3c
brabanti	PROPN	Z3c
brack	PROPN	Z2
brackett	PROPN	Z1mf
bracknel	PROPN	Z2
bracknell	PROPN	Z2
brad	PROPN	Z1m
bradenham	PROPN	Z3
bradenham	NOUN	F1 A4.1
bradey	PROPN	Z1mf
bradford	PROPN	Z2 Z1mf
bradman	NOUN	Z1mf
bradshaw	PROPN	Z1mf
brahmaan	NOUN	S5+
brahms	PROPN	Z1mf
brain	PROPN	Z1mf
brampton	PROPN	Z2
bramshot	PROPN	Z2
branchov	PROPN	Z2
brandon	PROPN	Z1mf
branhope	PROPN	Z2
brannagh	PROPN	Z1mf
branson	PROPN	Z1mf Z3c
branston	PROPN	Z3c Z1mf
brasilia	PROPN	Z2
brasso	PROPN	Z3c/B4
