mwe_template	semantic_tags
*_NOUN match*_NOUN kamp_NOUN	K5.1
*_NOUN mill*_NOUN mølle_NOUN	Df/H1c
*_NOUN mine*_NOUN mine_NOUN	I4/Dfc
*_NOUN måneder_NOUN	T1.3
*_NOUN muscle*_NOUN muskel_NOUN	B1
*_NOUN af_ADP *_PROPN	Z2 Z3c
af_ADP det_DET	Df/A5.1+++mfnc
*_NOUN off_ADV	K1/T1.3
*_NOUN offence*_NOUN lovovertrædelse_NOUN	G2.1-/Df
på_ADP end_NOUN	T1.3+
på_ADP ristet_ADJ brød_NOUN	F1
*_NOUN ude_ADV	K1/T1.3
*_NOUN output*_NOUN output_NOUN	Df/N5
*_NOUN picture*_NOUN billede_NOUN	Df/C1 Df/Q4.3
*_NOUN tærte_NOUN	F1
*_NOUN tærter_NOUN	F1
*_NOUN pitch*_NOUN tonehøjde_NOUN	K5.1/M7
*_NOUN plant*_NOUN plante_NOUN	L3 I4/Dfc
*_NOUN bøn_NOUN	S9
*_NOUN profession*_NOUN profession_NOUN	Df/I3.1c
*_NOUN reader*_NOUN læser_NOUN	Df/Q4.1mf
*_NOUN udskiftningsoperation_NOUN operation*_NOUN	B3
*_NOUN room*_NOUN rum_NOUN	Df/H2
*_NOUN sandwich*_NOUN sandwich_NOUN	F1
*_NOUN sauce*_NOUN sauce_NOUN	F1
*_NOUN sektor_NOUN	Dfc
*_NOUN seed*_NOUN frø_NOUN	L3
*_NOUN shopping_NOUN	I2.2/Df
*_NOUN side_NOUN	M7
*_NOUN situation*_NOUN situation_NOUN	Df
*_NOUN samfund_NOUN	Df/S5+
*_NOUN samfund_NOUN	Df/S5+c
*_NOUN soup*_NOUN suppe_NOUN	F1
*_NOUN tale_NOUN	Q3
*_NOUN wokstegning_NOUN fry_*	F1
*_NOUN ting_NOUN	Df/O2 Df
*_NOUN tart*_NOUN tærte_NOUN	F1
*_NOUN te_NOUN	F2
*_NOUN term_NOUN	T1.3/P1
*_NOUN thing*_NOUN ting_NOUN	Df
*_NOUN tid_NOUN	T1.3
*_NOUN kontrakt_NOUN *_NOUN contract*_NOUN	I3.1/T1.3-
*_NOUN træning_NOUN	P1/Df
*_NOUN tree*_NOUN træ_NOUN	L3
*_NOUN tumour*_NOUN svulst_NOUN	B2-
*_NOUN type*_NOUN type_NOUN	Df
type_NOUN ting_NOUN	Df
*_NOUN ulcer*_NOUN ulcus_NOUN	B2-
*_NOUN vaccine*_NOUN vaccine_NOUN	B3
*_NOUN wedding*_NOUN bryllup_NOUN	S4/T1.3
*_NOUN klog_ADJ	Df
*_NOUN arbejde_NOUN	Df
*_NOUN fabrik_NOUN	Df/H1c
*_NUM citattegn_NOUN	T1.3
"*_NUM citattegn_NOUN *_NUM ""_PUNCT"	N3.3 N3.7
tal_NUM adjektiv_ADJ	N1
tal_NUM adjektiv_ADJ af_ADP proprium_PROPN	T1.2
tal_NUM substantiv_NOUN en_DET determinator_DET substantiv_NOUN	N6
tal_NUM substantiv_NOUN i_ADP forvejen_NOUN	T4+
tal_NUM substantiv_NOUN i_ADP rækkefølge_NOUN	N6+
tal_NUM substantiv_NOUN gammel_ADJ	T3/S2mf T3
tal_NUM substantiv_NOUN på_ADP den_DET række_NOUN	N6+
tal_NUM substantiv_NOUN på_ADV	T4
tal_NUM substantiv_NOUN til_ADP den_DET dag_NOUN	T1.3
tal_NUM tal_NUM	N1 T3 T1.2 T1.3 N3.3 N3.5 I1
tal_NUM tal_NUM substantiv_NOUN i_ADP forvejen_NOUN	T4+
nummer_NUM nummer_NUM substantiv_NOUN gammel_ADJ	T3 T3/S2mf
nummer_NUM nummer_NUM Kommando_NOUN	Z3c
nummer_NUM nummer_NUM kalorier_NOUN	N3.1
nummer_NUM nummer_NUM knob_NOUN	N3.8
nummer_NUM nummer_NUM pund_NOUN	I1
nummer_NUM nummer_NUM pund_NOUN værd_ADJ	N5/I1.3
nummer_NUM nummer_NUM noget_PRON	T1.3
nummer_NUM nummer_NUM adjektiv_ADJ procent_NOUN	N5
nummer_NUM halv_NUM substantiv_NOUN gammel_ADJ	T3 T3/S2mf
nummer_NUM en_DET substantiv_NOUN	N5
*_NUM en_DET side_NOUN	K5.1
*_NUM et_DET {ADJ/INTJ} stykke_NOUN	N5
*_NUM acres_NOUN	N3.6
*_NUM am_ADV	T1.2
*_NUM og_CCONJ *_NUM pund_NOUN	I1
*_NUM og_CCONJ *_* penny_NOUN	I1
*_NUM og_CCONJ en_DET halv_DET {ADJ/INTJ} procent_NOUN	N5
*_NUM og_CCONJ en_DET halv_DET	N1 T3
*_NUM og_CCONJ en_DET halv_DET *_NOUN	T1.3
*_NUM og_CCONJ en_DET halv_DET *_NOUN gammel_ADJ	T3 T3/S2mf
*_NUM og_CCONJ en_DET halv_DET *_NUM	N1 I1
*_NUM og_CCONJ en_DET halv_DET *_NUM pund_NOUN	I1 N3.5
*_NUM og_CCONJ en_DET halv_DET *illion_NUM	N1 I1
*_NUM og_CCONJ en_DET halv_DET procent_NOUN	N5
*_NUM og_CCONJ en_DET halv_NOUN	N1 T3
*_NUM og_CCONJ en_DET halv_NOUN sten_NOUN	N3.5
*_NUM til_ADV side_NOUN	K5.1
*_NUM seng_NOUN semi-detached_ADJ	H1
*_NUM soveværelse_NOUN lejlighed_NOUN	H1
hundrede_NUM procent_NOUN	N5.1+
*_NUM inch*_NOUN tomme_NOUN	N3.3
*_NUM kilo_NOUN	N3.5
*_NUM knob_NOUN	N3.8
liter_NOUN injektion_NOUN	M3
miles_NOUN per_ADP hour_NOUN	N3.8
*_NUM mile_NOUN	N3.3
minutter_NOUN efter_ADP	T1.2
minutter_NOUN til_ADP	T1.2
minut_NOUN vidunder_NOUN	T1.3-
minutters_NOUN kørsel_NOUN væk_ADV	N3.3
*_NUM o'clock_ADV	T1.2
*_NUM ulige_ADJ	N1 N5+ T3
*_NUM af_ADP *_NUM	N5+
*_NUM siden_ADV *_NUM *_NOUN ago_ADV	T1.1.1
måneder_NOUN ad_ADP gangen_NOUN	T1.3
*_NUM ply_NOUN *_NUM ply_NOUN	O4.1
*_NUM gange_NOUN *_NUM times_NOUN	N6+
*_NUM eller_CCONJ sådan_PRON noget_PRON	N1
*_NUM ud_ADP af_ADP *_NUM	N5
*_NUM ud_ADP af_ADP *_NUM gange_NOUN	N6
*_NUM penge_NOUN	I1
*_NUM del_NOUN harmoni_NOUN	K2
*_NUM stykke_NOUN orkester_NOUN	K2/S5+c
*_NUM plus_CCONJ *_NOUN	T1.3
*_NUM plus_CCONJ	T3 N1
*_NUM lag_NOUN	O4.1
*_NUM pm_ADV	T1.2
*_NUM point_NOUN *_NUM	N1 I1
*_NUM pund_NOUN *_NUM	I1
*_NUM pund_NOUN	I1 N3.5
*_NUM pundseddel_NOUN	I1
*_NUM pund_NOUN værd_ADJ	N5/I1.3
*_NUM quid_NOUN	I1
*_NUM quid_NOUN værd_ADJ	N5/I1.3
*_NUM score_NOUN	N1
*_NUM sæder_NOUN	M3/N5fn M5/N5fn H5/N5
*_NUM stjerne_NOUN	A5.1
*_NUM stjernegeneral_NOUN general*_NOUN	G3/S2mf
*_NUM etagehus_NOUN house*_NOUN	H1
*_NUM slagtilfælde_NOUN	O2/M3
gange_NOUN over_ADV	N5+
til_ADP potensen_NOUN af_ADP	N1
*_NUM spor_NOUN	K3
*_NUM måde_NOUN	M6 S1.1.2+
*_NUM ugentlig_ADJ	N6+
*_NUM hjultræk_NOUN drive*_NOUN	M3
*_NUM wheeler*_NOUN wheeler_NOUN	M3fn
*_NUM årskontrakt_NOUN contract*_NOUN	I3.1/T1.3
*_NUM årsplan_NOUN plan_NOUN	X7+
*_NUM år_NOUN gammel_ADJ	T3
*_NUM {ADJ/INTJ} *_NOUN siden_ADV	T1.1.1
*_NUM {ADJ/INTJ} *_NOUN gammel_ADJ	T3
*_NUM {ADJ/INTJ} *_NOUN kørende_VERB	N6+
*_NUM {ADJ/INTJ} *_NUM	N1
*_NUM {ADJ/INTJ} liter_NOUN	N3.4
*_NUM {ADJ/INTJ} pence_NOUN	I1
*_NUM {ADJ/INTJ} procent_NOUN	N5
*_NUM {ADJ/INTJ} pund_NOUN	I1 N3.5
*_NUM {ADJ/INTJ} gange_NOUN	N6+ A13.3
*_NUM {ADJ/INTJ} gange_NOUN en_DET {ADJ/INTJ} *_NOUN	N6+
*_NUM {ADJ/INTJ} gange_NOUN i_ADP træk_NOUN	N6+
*_NUM {ADJ/INTJ} gange_NOUN ud_ADP af_ADP *_NUM	N6+
*_NUM {ADJ/INTJ} gange_NOUN per_ADP {ADJ/INTJ} *_NOUN	N6+
*_NUM {ADJ/INTJ} år_NOUN gammel_ADJ	T3
*_PART forstå_VERB hoved_NOUN eller_CCONJ hale_NOUN af_ADP	X2.5-
*_PART forstå_VERB head_NOUN nor_CCONJ {ADJ/INTJ} tail_NOUN of_ADP	X2.5-
*_PART forstå_VERB head_NOUN or_CCONJ {ADJ/INTJ} tail_NOUN of_ADP	X2.5-
*_PROPN bar_NOUN Bar_NOUN	Z3c
*_PROPN sygdom_NOUN Disease_NOUN	B2-
formel_ADJ ansættelse_NOUN	Z3c
*_PROPN postordre_NOUN Mail_NOUN Order_NOUN	Z3c
*_PROPN eng_NOUN Meadow_NOUN	Z2
*_PROPN punkt_NOUN Point_NOUN	Z2
*_PROPN skole_NOUN School_NOUN	Z3c
*_PROPN klippe_NOUN Tor_NOUN	Z2
*_PROPN af_ADP of_ADP *_PROPN	Z3c
*_PROPN park_NOUN {ADJ/INTJ} Park_*	Z2
*_PROPN *_PROPN jernbanestation_NOUN Station_NOUN	Z2c
*_PROPN uddannelsesinstitution_NOUN Form_NOUN College_NOUN	Z3c
*_PROPN Kloster_NOUN	Z2 Z3c
*_PROPN Akademi_NOUN	Z3c
*_PROPN Rumfart_NOUN	Z3c
*_PROPN Lufthavn_NOUN	Z3c
*_PROPN Våben_NOUN	Z3c
*_PROPN Kunstgalleri_NOUN Gallery_NOUN	Z3c
*_PROPN Atletik_ADJ	Z3c
*_PROPN Bageri_NOUN	Z3c
*_PROPN Helligdag_NOUN Holiday_NOUN	T1.3/K1
*_PROPN Bar_NOUN	Z3c
*_PROPN Kaserne_NOUN	Z2c
*_PROPN Bugt_NOUN	Z2
Bay_PROPN Development_NOUN Corporation_NOUN	Z3c
*_PROPN Strand_NOUN	Z2
*_PROPN Bådklub_NOUN Club_NOUN	Z3c
*_PROPN Boghandel_NOUN	Z3c
*_PROPN Bydel_NOUN	Z2c
*_PROPN Drengekor_NOUN Choir_NOUN	Z3c
*_PROPN Drengekollegium_NOUN College_NOUN	Z3c
*_PROPN Bryggeri_NOUN	Z3c
*_PROPN Broende_NOUN End_NOUN	Z2
*_PROPN Brovej_NOUN Road_NOUN	Z2
*_PROPN Byggeselskab_NOUN Society_NOUN	Z3c
*_PROPN Busstation_NOUN Station_NOUN	Z2
*_PROPN Handelshøjskole_NOUN School_NOUN	Z3c
*_PROPN Erhvervstrust_NOUN Trust_NOUN	Z3c
*_PROPN Omfartsvej_NOUN	Z2
*_PROPN Kanal_NOUN	Z2
*_PROPN Kløft_NOUN	Z2
*_PROPN Slot_NOUN	Z2
*_PROPN Katedral_NOUN	Z3c
*_PROPN Hovedbanegård_NOUN Station_NOUN	Z2c
*_PROPN Central_ADJ	Z2
*_PROPN Børnehospital_NOUN 's_PART Hospital_NOUN	Z3c
*_PROPN By_NOUN	Z2 Z3c
*_PROPN Byfarm_NOUN Farm_NOUN	Z3c
*_PROPN Byungdomshold_NOUN Youth_* Team*_NOUN	Z3c
*_PROPN Bytilhænger_NOUN supporter*_NOUN	Z3/E2+mf
*_PROPN Close_NOUN	Z2
*_PROPN Kaffebar_NOUN House_NOUN	Z3c
*_PROPN College_NOUN	Z3c
College_NOUN for_ADP handicappede_ADJ	Z3c
College_NOUN for_ADP kunst_NOUN og_CCONJ teknologi_NOUN	Z3c
College_NOUN for_ADP mad_NOUN	Z3c
College_NOUN for_ADP teknologi_NOUN	Z3c
*_PROPN Fælles_NOUN	Z2
*_PROPN Konkurrence_NOUN	Z3c
*_PROPN Computercenter_NOUN Centre_NOUN	Z3c
*_PROPN Konstabel_NOUN	Z3c
*_PROPN Valgkreds_NOUN	Z2
Valgkredsens_NOUN Labour_PROPN Party_NOUN General_ADJ Management_NOUN Committee_NOUN	Z3c
*_PROPN Kloster_NOUN	Z3c
*_PROPN Hjørne_NOUN	Z2
*_PROPN Råd_NOUN	Z3c
*_PROPN Rådeskole_NOUN School_NOUN	Z3c
*_PROPN Amt_NOUN	Z2c
*_PROPN Amtsråd_NOUN Council_NOUN	Z3c
*_PROPN Amtsdanseband_NOUN Dance_NOUN Band_NOUN	Z3c
Amts_NOUN politi_NOUN	Z3c
Amt_PROPN Folkeskole_NOUN	Z3c
*_PROPN Retsal_NOUN	Z3c Z2
Cricket_PROPN Klub_NOUN	Z3c
Terrænløb_NOUN Hold_NOUN	Z3c
*_PROPN Kors_NOUN	Z2
Cross_PROPN Politistation_NOUN	Z3c
*_PROPN Cykelkampagne_NOUN Campaign_NOUN	Z3c
*_PROPN Dansestudie_NOUN Centre_NOUN	Z3c
*_PROPN Ørken_NOUN	Z2
*_PROPN Dok_NOUN	Z2
*_PROPN Dokkene_NOUN	Z2
*_PROPN Skibsværft_NOUN	Z2c
*_PROPN Højland_NOUN	Z2
*_PROPN Indkørsel_NOUN	Z2
*_PROPN Kant_NOUN	Z2
*_PROPN Elektricitet_NOUN	Z3c
*_PROPN Elektronik_NOUN	Z3c
*_PROPN Ende_NOUN	Z2
*_PROPN Gods_NOUN	Z2
*_PROPN FC_PROPN	Z3c
*_PROPN Fald_NOUN	Z2
Slægtshistorisk_ADJ Forening_NOUN	Z3c
*_PROPN Gård_NOUN	Z2
*_PROPN Mose_NOUN	Z2
*_PROPN Festival_NOUN	Z3c
*_PROPN Mark_NOUN	Z2
*_PROPN Fjord_NOUN	Z2
*_PROPN Smedje_NOUN	Z2
*_PROPN Fort_NOUN	Z2
*_PROPN Fond_NOUN	Z3c
*_PROPN Haver_NOUN	Z2
*_PROPN Port_NOUN	Z2
*_PROPN Tidsskrift_NOUN	Z3c
*_PROPN Pigeskole_NOUN Grammar_NOUN School_NOUN	Z3c
*_PROPN Golfklub_NOUN Club_NOUN	Z3c
*_PROPN Golfbane_NOUN Course_NOUN	Z2
*_PROPN Grammatik_NOUN	Z3c
*_PROPN Gymnasieskole_NOUN School_NOUN	Z3c
*_PROPN Bevillingskomité_PROPN Committee_NOUN	Z3c
Green_PROPN Hospital_PROPN	Z3c
Green_PROPN Lane_PROPN	Z2
*_PROPN Gruppe_PROPN	Z3c
*_PROPN Lund_PROPN	Z2
*_PROPN Vagter_PROPN	Z3
*_PROPN Hal_PROPN	Z2 Z3c
*_PROPN Havn_PROPN	Z2
*_PROPN Hoved_PROPN	Z2
*_PROPN Sundhedsmyndighed_PROPN Authority_NOUN	Z3c
*_PROPN Hede_PROPN	Z2
*_PROPN Højder_PROPN	Z2
*_PROPN Høj_PROPN	Z3c
High_PROPN School_PROPN	Z3c
High_PROPN School_PROPN for_ADP Drenge_PROPN	Z3c
High_PROPN School_PROPN for_ADP Piger_PROPN	Z3c
*_PROPN Hill*_NOUN Bakke_PROPN	Z2 Z3c
*_PROPN Hesteshow_PROPN Show_NOUN	Z3c
*_PROPN Hospice_PROPN	Z3c
*_PROPN Hospital_NOUN	Z3c
*_PROPN Hotel_NOUN	Z3c
*_PROPN Hus_NOUN	Z3c Z2
*_PROPN Industrier_NOUN	Z3c
*_PROPN Spædbørn_NOUN	Z3c
*_PROPN Børnehaveklasse_NOUN School_NOUN	Z3c
*_PROPN Kro_NOUN	Z3c
*_PROPN Institut_NOUN	Z3c
Institut_NOUN datatjeneste_NOUN	Z3c
*_PROPN Forsikring_NOUN	Z3c
International_ADJ lufthavn_NOUN	Z2c
*_PROPN Ø_NOUN	Z2
*_PROPN Øer_NOUN	Z2
*_PROPN Fængsel_NOUN	Z3c
*_PROPN Kryds_NOUN	Z2
*_PROPN Junior_ADJ	Z3c Z1mf
*_PROPN Mellemskole_NOUN School_NOUN	Z3c
*_PROPN Sø_NOUN	Z2
*_PROPN Bane_NOUN	Z2 Z3c%
*_PROPN Baneskole_NOUN School_NOUN	Z3c
*_PROPN Liga_NOUN	Z3c
*_PROPN Fritidscenter_NOUN Centre_NOUN	Z3c
*_PROPN Bibliotek_NOUN	Z3c
*_PROPN Lions_NOUN	Z3c
*_PROPN Byret_NOUN Court_NOUN	Z3c
*_PROPN Indkøbscenter_NOUN	Z2
*_PROPN Herregård_NOUN	Z2 Z3c
*_PROPN Maraton_NOUN	Z3
*_PROPN Marked_NOUN	Z3c
*_PROPN Mølle_NOUN	Z2 Z3c
Modelbygning_NOUN Gruppe_NOUN	Z3c
*_PROPN Moor*_NOUN Hede_NOUN	Z2
*_PROPN Moske_NOUN	Z3c
*_PROPN Bilproducent_NOUN Company_NOUN	Z3c
*_PROPN Bilproducent_NOUN	Z3c
*_PROPN Museum_NOUN	Z3c
*_PROPN Musikskole_NOUN Centre_NOUN	Z3c
*_PROPN Observatør_NOUN	Z3c
Opera_NOUN Selskab_NOUN	Z3c
Økologisk_ADJ gård_NOUN	Z3c
Ortopædisk_ADJ hospital_NOUN	Z3c
*_PROPN PLC_NOUN	Z3
*_PROPN Palads_NOUN	Z2c
*_PROPN Faldskærmscenter_NOUN Centre*_NOUN	Z3c
*_PROPN Parade_NOUN	Z2
*_PROPN Park_NOUN	Z2
*_PROPN Pinsekirke_NOUN Church_NOUN	Z3c
*_PROPN Mole_NOUN	Z2
*_PROPN Slette_NOUN	Z2
*_PROPN Punkt_NOUN	Z2
*_PROPN Politi_NOUN	Z3c
*_PROPN Politistation_NOUN Station_NOUN	Z2c
*_PROPN Poly_NOUN	Z3c
Polyteknisk_ADJ skole_NOUN	Z3c
*_PROPN Dam_NOUN	Z2
*_PROPN Forberedelsesskole_NOUN School_NOUN	Z3c
*_PROPN Presbyterian_ADJ	Z3c
*_PROPN Folkeskole_NOUN School_NOUN	Z3c
*_PROPN Produktioner_NOUN	Z3c
*_PROPN Kaj_NOUN	Z2
*_PROPN Jernbanestation_NOUN Station_NOUN	Z2c
*_PROPN Arkiv_NOUN Office_NOUN	Z3c
*_PROPN Rev_NOUN	Z2
*_PROPN Regionsråd_NOUN Council_NOUN	Z3c
*_PROPN Rapport_NOUN	Z3
*_PROPN Republik_NOUN	Z2c
*_PROPN Restaurant_NOUN	Z3c
*_PROPN Højderyg_NOUN	Z2
*_PROPN Sten_NOUN	Z2
*_PROPN Række_NOUN	Z2
*_PROPN Roklub_NOUN Club_NOUN	Z3c
*_PROPN Kongelig_ADJ	Z3c
Kongelig_ADJ sygeplejestation_NOUN	Z3c
*_PROPN Sand_NOUN	Z2
Skolernes_NOUN Udforskningsforening_NOUN	Z3c
*_PROPN Hav_NOUN	Z2
Sekundær_ADJ moderne_ADJ skole_NOUN	Z3c
Sociale_ADJ tjenester_NOUN	Z3c
*_PROPN Lyd_NOUN	Z2 Z3c
*_PROPN Spa_NOUN	Z2
*_PROPN Specialskole_NOUN	Z3c
*_PROPN Speedway_NOUN	Z2
*_PROPN Plads_NOUN	Z2
*_PROPN Stadion_NOUN	Z2
*_PROPN Stat_NOUN	Z2 Z3c
*_PROPN Station_NOUN	Z2c
*_PROPN Stål_NOUN	Z3c
*_PROPN Gadebassin_NOUN	Z2
*_PROPN Gadebusstation_NOUN	Z2
*_PROPN Gadekvarter_NOUN	Z3c
*_PROPN Gadestation_NOUN	Z2c
*_PROPN Studier_NOUN	Z3c
*_PROPN Svømmeforening_NOUN	Z3c
*_PROPN Swimmingpool_NOUN	Z2
*_PROPN Tech_NOUN	Z3c
*_PROPN Telegraf_PROPN	Z3c
*_PROPN Teater_NOUN	Z2
*_PROPN Tårn_NOUN	Z2
*_PROPN By_NOUN	Z2
*_PROPN Rådhus_NOUN Hall_NOUN	Z2
*_PROPN Erhvervsskole_NOUN College_NOUN	Z3c
*_PROPN Trust_NOUN	Z3c
*_PROPN Motorvej_NOUN	Z2
*_PROPN Forenet_ADJ	Z3c
Forenet_ADJ Fodboldklub_NOUN	Z3c
Forenet_ADJ tilhænger_NOUN	Z3/E2+mf
*_PROPN Universitet_NOUN	Z3c
*_PROPN Dal_NOUN	Z2
*_PROPN Landsby_NOUN	Z2
*_PROPN Gangsti_NOUN	Z2
*_PROPN Vandrere_NOUN	Z3c
*_PROPN Afdeling_NOUN	Z2
*_PROPN Vand_NOUN	Z3c
*_PROPN Vej_NOUN	Z2
*_PROPN Wood*_NOUN Skov_NOUN	Z2
*_PROPN Skov_NOUN	Z2
