lemma	pos	semantic_tags
amerikanisering	NOUN	Z2/A6.1+
amerikanisere	VERB	Z2/A6.1+
amerikano	NOUN	F2
ammonit	NOUN	T1.1.1/S5 T1.1.1/S1.2.1-/S2mfc S9 G3 F4/O1
anæstesiolog	NOUN	B3/S2mf
anatolsk	ADJ	Z2
anatomi	ADJ	B1
anglikaner	ADJ	S9
anglikaner	NOUN	S9
anglikanisme	NOUN	S9
anglicisme	NOUN	Q3
anglo	ADJ	Z2
anglokatolsk	ADJ	S9
anglokatolikker	NOUN	S9/S2mf
anglodansk	ADJ	Z2
anglofransk	ADJ	Z2
angloindisk	ADJ	Z2 Q3
angloindier	NOUN	Z2/S2mf
angelsaksisk	ADJ	Q3
angelsakser	NOUN	Z2/S5 Q3
anglofon	NOUN	Q3/Z2/S3mf
angolansk	ADJ	Z2
angolaner	NOUN	Z2/S2mf
angus	NOUN	Z1m
animisme	NOUN	S9
julebudskab	NOUN	S9
antarktisk	ADJ	M7
tamandua	NOUN	L2
antropologi	NOUN	S1.1.1 X2.4/S2 P1/S2
antikrigs	ADJ	G3/E2-
antikrist	NOUN	S9 Z1m/E2- G2.2-
anzac	NOUN	G3
aorta	NOUN	B1
apache	NOUN	Z2/S2mf Z2/Q3
apenninerne	PROPN	Z2 M7
aphrodite	PROPN	S9/Z1f
apiit	PROPN	Z3c/P1
apokalypsen	NOUN	S9/Q4.1
apollo	PROPN	Z3m
appenzell	PROPN	Z3/F1
apple	PROPN	Z3c
apple1	PROPN	Z3/Y2
apple2	PROPN	Z3/Y2
appleby	PROPN	Z2 Z1mf
apr.	PROPN	T1.3
april	PROPN	T1.3 Z1f Z3f
apsley	PROPN	Z3c
aqua	PROPN	Z3c
aquadry	PROPN	B5/Z3c
vandmand	ADJ	S9
vandmand	NOUN	S9/S2mf
vandmænd	NOUN	S9/S2mf
vandmanden	PROPN	S9
aquascutum	PROPN	Z3c
aquinas	PROPN	Z1
aquitaine	PROPN	Z2
arabisk	ADJ	Z2 Z2/Q3
araber	NOUN	Z2/S2mf
arab-malaysia	PROPN	Z2
arab-malaysian	PROPN	Z2
arabisk-malaysisk	ADJ	Z2
arabien	PROPN	Z2
arabisk	NOUN	Z2/Q3 Z2/S2mf
arabica	NOUN	F2/L2 Z3 F2/L3
aragon	PROPN	Z1m Z2
arakanese	PROPN	Z2/S2mf
aran	PROPN	Z2
arancha	PROPN	Z1f
arbo	PROPN	Z3c
arboo	PROPN	Z3c
arborio	NOUN	F1 A4.1
arbos	PROPN	Z3c
arbroath	PROPN	Z2 Z3c
arcadia	PROPN	Z3c
arcadian	PROPN	Z3c
ærkebiskop	NOUN	S9/S2mf
ærkebiskopdømme	NOUN	S9
ærkebiskopper	NOUN	S9/S2mf
archeli	PROPN	Z3c
bueskytte	NOUN	K5.1/S2mf G3/S2.2m
archer	PROPN	Z1mf
archers	PROPN	Z3c Z1mf
bueskydning	ADJ	Z3
arketype	NOUN	A4.1 A4.2+
arketype	PROPN	Z3c
archibald	PROPN	Z1m
archie	PROPN	Z1m
arkimandrit	NOUN	S9/S2m S9/S7.1+/S2.2m
arktis	PROPN	Z2
arctrex	PROPN	Z3c
arden	PROPN	Z2
ardennerne	PROPN	Z2
ardmell	PROPN	Z3c
ardrishaig	PROPN	Z2
ardwick	PROPN	Z2
argan	PROPN	Z3
argentina	PROPN	Z2 Z3c
argentinier	NOUN	Z2/S2mf
argentinsk	PROPN	Z2/S2mf
argh	INTJ	Z4
argo	PROPN	Z3c
argos	PROPN	Z3c Z2
argyle	PROPN	Z2
argyll	PROPN	Z2 Z3c
arianer	ADJ	S5+
ariel	PROPN	Z1mf
vædderen	PROPN	S9 S9/S2mf
aristoteles	PROPN	Z1m
arizona	PROPN	Z2 Z3c
ark	PROPN	Z3c
arlacino	PROPN	Z1m/K4 Z3c E4.1+/S2m
arlecchino	PROPN	Z1m/K4 Z3c E4.1+/S2.2m
arles	PROPN	F1 Z2/F1
arlington	PROPN	Z2
flåde	NOUN	G3/M4 M4 M4c M3c O2 I1 M3 F2 G3/M4c O4.3 M4fn A6.3+
armageddon	PROPN	A1.1.2
armagnac	PROPN	F2
armani	PROPN	Z1m Z3c
armenien	PROPN	Z2
armenier	NOUN	Z2/S2mf
armensk	ADJ	Z2
armeniere	NOUN	Z2/S2mf
armitage	PROPN	Z1mf Z3c
armstrong	PROPN	Z1mf Z3c
arndale	PROPN	Z2
arndales	PROPN	Z3c
arnley	PROPN	Z2
arnold	PROPN	Z1mf
aroma	NOUN	X3.1 X3.5
aromaterapi	NOUN	B3
arr	PROPN	Z2
arrad	PROPN	Z3
arran	PROPN	Z2 Z1m
arremanche	PROPN	Z2
arrundel	PROPN	Z2
arrundell	PROPN	Z2
arrup	PROPN	Z3c Z1mf
arrups	PROPN	Z3c
arry	PROPN	Z1m
arsonium	PROPN	O1.1
artemide	PROPN	Z1m
arthur	PROPN	Z1m
artilleri	PROPN	Z2
artilleri	NOUN	G3c G3 G3/S5c
artois	PROPN	Z1mf Z3c
arundel	PROPN	Z2 Z3c
arvon	PROPN	Z2
asa	NOUN	L3
asa	PROPN	Z1m
asante	PROPN	Z2/S2mf
ascots	PROPN	Z3c
asda	PROPN	Z3c
ashby-de-la-zouche	PROPN	Z2
ashdon	PROPN	Z2
ashdown	PROPN	Z1mf
ashfeld	PROPN	Z2
ashfield	PROPN	Z2
ashford	PROPN	Z2
ashgate	PROPN	Z2
ashington	PROPN	Z2 Z3c
ashley	PROPN	Z1mf
ashlington	PROPN	Z2
ashridge	PROPN	Z2
ashtod	PROPN	Z2
ashton	PROPN	Z2 Z1mf
ashwood	PROPN	Z2 Z1mf
asien	PROPN	Z2
asien-stillehavet	ADJ	Z2 M7
asiamoney	PROPN	Z3c
asiat	NOUN	Z2/S2mf
asiatisk	ADJ	Z2
asiatisk-fusion	ADJ	Z2/A1.8+
asiater	NOUN	Z2/S2mf
aspasia	PROPN	Z1f
astrologi	NOUN	S9 P1/W1
athenisk	ADJ	Z2
athener	NOUN	Z2/S2mf
augustin	ADJ	S9
australiener	NOUN	Z2/S2mf
australiensere	NOUN	Z2/S2mf Z2
australasiatisk	ADJ	Z2
australasiater	NOUN	Z2/S2mf
østrig-ungarsk	ADJ	Z2
østrig-ungarer	NOUN	Z2/S2mf
østriger	ADJ	Z2
østriger	NOUN	Z2/S2mf
østrigere	NOUN	Z2/S2mf
auxiliary	ADJ	S7.1- Q3
hjælpe	NOUN	B3/S2mf Q3 S8+/S2mf
aksiom	NOUN	X4.1 X2.1 N2
ayatollah	NOUN	S9/S2.2m S9/S7.1+
azerbajdzjaner	NOUN	Z2/S2mf
azerbajdzjansk	ADJ	Z2
azerbajdzjanere	NOUN	Z2/S2mf
aztec	NOUN	T1.1.1/S2mf
azteker	NOUN	T1.1.1/S2mf
b-film	NOUN	Q4.3
b-side	NOUN	K3
ba	NOUN	P1
f.kr.	ADV	T1.1.1
b.tech	NOUN	P1
b.tech.	NOUN	P1
bbc	PROPN	Z3c
bbc1	PROPN	Z3c
bbc2	PROPN	Z3c
grill	NOUN	F1 F1/O2 O2
bmw	NOUN	Z3/M3
bmw	PROPN	Z3c
bp	NOUN	B1
bse	NOUN	B2-
babylon	PROPN	Z2 Z3c
bagdad	PROPN	Z2
bahamas	PROPN	Z2
bahrain	PROPN	Z2
bali	PROPN	Z1 Z1mf
balkansk	ADJ	Z2 Z2/S2mfnc
balkan	PROPN	Z2
kugler	NOUN	Z4 O4.4 A4.1 S5+
baltisk	ADJ	Z2 Z2/S2mfnc
baltimore	PROPN	Z2
bangkok	PROPN	Z2
bangladesh	PROPN	Z2
bantu	ADJ	Z2/S2mf Z2/Q3
dåber	NOUN	S9/S2mf S9
dåb	ADJ	S9
dåbere	NOUN	S9/S2mf
barbadisk	ADJ	Z2
barbadier	NOUN	Z2/S2mf
barbados	PROPN	Z2 Z3c
barbara	PROPN	Z1f
barber	PROPN	Z1mf
barbican	PROPN	Z2 Z3c
barbie	PROPN	Z3f
barbies	PROPN	Z3f
barbour	PROPN	B5/Z3c
barbuda	PROPN	Z2
barbudans	PROPN	Z2/S2mf
barcelona	PROPN	Z2 Z3c
barclay	PROPN	Z3c Z1mf
barclaycard	PROPN	I1.1/O2/Q1.1
barclays	PROPN	Z3c
barco	PROPN	Z1mf
bardot	PROPN	Z1mf
barents	PROPN	Z2
bari	PROPN	Z2
barker	PROPN	Z1mf
barlow	PROPN	Z1mf
barnabus	PROPN	Z1m
barnados	PROPN	Z3c Z1mf
barnard	PROPN	Z1mf
barnardo	PROPN	Z1mf
barnardos	PROPN	Z3c Z1mf
barnes	PROPN	Z2 Z1mf
barnesandnoble.com	PROPN	Z3c/Y2
barnet	PROPN	Z2 Z1mf
barnett	PROPN	Z1mf
barney	PROPN	Z1mf
barnforth	PROPN	Z1mf
barnham	PROPN	Z1mf
barnic	PROPN	Z1mf
barnmouth	PROPN	Z2
barnsley	PROPN	Z2
barnstaple	PROPN	Z2
barnum	PROPN	Z1m Z3
baron	NOUN	S7.1+/S2.2m
baron	PROPN	Z1mf
baroness	PROPN	S7.1+/S2.1f
baronet	NOUN	S7.1+/S2.2m
baronet	PROPN	S7.1+/S2.2m
barok	NOUN	T1.1.1 C1 K2
barr	PROPN	Z1mf
barratt	PROPN	Z1mfc
barratts	PROPN	Z3c Z1mf
barrie	PROPN	Z1mf
advokater	NOUN	G2.1/S2mf G2.1/I3.2/S2mf
barrow	PROPN	Z2 Z1mf Z3c
barry	PROPN	Z1mf Z2
barrymore	PROPN	Z1mf Z3c
barrytown	PROPN	Z2
bart	PROPN	Z1m
bartholomew	PROPN	Z1m
bartok	PROPN	Z1mf
barton	PROPN	Z1mf Z2
barts	PROPN	Z3c
basarwa	PROPN	Z2/S2mf
basel	PROPN	Z2
basham	PROPN	Z1m
bashkirs	PROPN	Z2/S2mf
basics	PROPN	Z3
basil	PROPN	Z1m
basilikum	NOUN	F1 L3
basildon	PROPN	Z2
basingbourne	PROPN	Z2
basingstoke	PROPN	Z2
baskerville	PROPN	Z1mf
basmati	NOUN	F1
basotho	PROPN	Z2/S2mf
baskisk	NOUN	Z2/S2mf Z2/Q3
baskisk	ADJ	Z2/S2mf Z2/Q3 Z2
bassow	PROPN	Z2
bastille	NOUN	Z2
bastow	PROPN	Z2
basu	PROPN	Z1mf
bateman	PROPN	Z1
bates	PROPN	Z1mf
bath	PROPN	Z2 Z3c
bathgate	PROPN	Z2
batik	NOUN	C1 O1.1 A1.1.1/C1
batman	PROPN	Z3m
batswana	PROPN	Z2 Z2/S2mf
battersea	PROPN	Z2
battini	PROPN	Z3c
battleford	PROPN	Z2
baume	PROPN	Z1m
bavaria	PROPN	Z2
bayersk	ADJ	Z2
bawdsley	PROPN	Z2
baydon	PROPN	Z1mf
bayeux	PROPN	Z2
bayonne	NOUN	F1 A4.1
bayswater	PROPN	Z2
baywatch	PROPN	Z3c
baz	PROPN	Z1mf
bazaar	PROPN	Z3c
bcal	PROPN	Z3c
beachers	PROPN	Z3c
beacon	PROPN	Z3c
beacons	PROPN	Z2 Z3c
beaconsfield	PROPN	Z2
beade	PROPN	Z1mf
beales	PROPN	Z3c Z1mf
beaman	PROPN	Z1mf
beardon	PROPN	Z1mf
bearsden	PROPN	Z2
beatles	PROPN	Z3c/K2
beatrice	PROPN	Z1f
beattie	PROPN	Z1mf
beatty	PROPN	Z1mf
beau	PROPN	Z1m
beaulieu	PROPN	Z2
beaumont	PROPN	Z1mf Z3 Z2
beaupre	PROPN	Z2
beauty	PROPN	Z3mfn
bever	NOUN	L2mfn K1/S2.2m
beavers	PROPN	Z3c
beawar	PROPN	Z2
beazer	PROPN	Z3c
becca	PROPN	Z1f
bechtel	PROPN	Z3c
beckenham	PROPN	Z2
becker	PROPN	Z1mf
beckhalls	PROPN	Z2
beckton	PROPN	Z1mf
becky	PROPN	Z1f
beconsfield	PROPN	Z2
bedales	PROPN	Z3
beddgelert	PROPN	Z2
beddows	PROPN	Z3c
bedford	PROPN	Z1mf Z2 Z3
bedfords	PROPN	Z3c
bedfordshire	PROPN	Z2
bedlingdons	NOUN	L2mfn
bedlington	PROPN	Z2
bedlow	PROPN	Z2
beduin	NOUN	Z2/S2mf
beeb	PROPN	Z3
beecham	PROPN	Z1mf Z2
beefeater	PROPN	Z3c
beeko	PROPN	Z1m
beesands	PROPN	Z2
adfærd	NOUN	S1.1.1 A1.1.1
hviderusser	NOUN	Z2/S2mf Z2/S2.2mf
hviderussisk	ADJ	Z2
hviderussere	NOUN	Z2/S2mf
belgier	NOUN	Z2/S2mf
belgisk	ADJ	Z2
belgiere	NOUN	Z2/S2mf
belizianer	NOUN	Z2/S2mf
belizianere	NOUN	Z2/S2mf
benediktiner	NOUN	S9/S2mf
benelux	NOUN	M7
bengali	NOUN	Z2/S2mf Z2/Q3
bengalsk	ADJ	Z2 Z2/Q3
berber	ADJ	Z2 Z2/Q3
berber	NOUN	Z2/S2mf
beryl	NOUN	O1.1
bibelsk	ADJ	S9/Q4.1
biokemiker	NOUN	Y1/S2mf Y1/L1/S2mf Y1/B1/S2mf
bioteknologi	NOUN	Y1 Y1/L1 Y1/B3
biskop	NOUN	S9/S2m S9/S7.1+/S2mf
blitz	NOUN	G3 A1.7+ O4.3/N6 N3.8+ Q4.3 O2 G2.1-
blok	NOUN	S5+c G1.1/S5+c O2 H1 N5+ S8- B3
boer	NOUN	Z2/S2mf
boheme	NOUN	C1/S2mf A6.2+/S2mf Z2/S2mf
boheme	ADJ	C1 A6.2+ Z2
bolero	NOUN	K1 B5
bolivianer	NOUN	Z2/S2mf
boliviansk	ADJ	Z2
bolivianere	NOUN	Z2/S2mf
bolsjevik	NOUN	G1.2/S2mf
bolsjeviksk	ADJ	G1.2/X2.1
bolsjevisme	NOUN	G1.2/X2.1
benet	ADJ	B1 F1 O4.5 O4.1 O4.2-
bogindbinding	NOUN	Q4.1 Q4.1/A1.1.1
boolsk	ADJ	Y2
gavn	NOUN	S8+
ungehjem	NOUN	G2.1/H1c
bosnier	NOUN	Z2/S2mf
bosnisk	ADJ	Z2
bosnisk-muslimsk	ADJ	Z2
bosnere	NOUN	Z2/S2mf
bospore	NOUN	Z2
brahmin	NOUN	S5+
muskulatur	NOUN	F1 S1.2.5+
brazilianer	NOUN	Z2/S2mf
brasiliansk	ADJ	Z2
brasilianere	NOUN	Z2/S2mf
opbrydning	NOUN	A1.1.2 S3- N5.1-
bresaola	NOUN	F1 A4.1
breton	NOUN	Z2/S2mf Z2/Q3
bretonsk	ADJ	Z2 Z2/Q3
brie	NOUN	F1
brigadér	NOUN	G3/S7.1+/S2mf
brit	NOUN	Z2/S2mf
brit	PROPN	Z2
bretagne	PROPN	Z2
broadway	PROPN	Z2
brunei	PROPN	Z2
bruneier	NOUN	Z2/S2mf
braunschweig	PROPN	Z1
bruxelles	PROPN	Z2
bruxelles	NOUN	F1
bukarest	PROPN	Z2
buckingham	PROPN	Z2
buckinghamshire	PROPN	Z2 Z3c
budapest	PROPN	Z2
buddha	PROPN	Z1m S9
buddhisme	NOUN	S9
buddhistisk	ADJ	S9
buddhist	NOUN	S9/S2mf
buddhister	NOUN	S9/S2mf
bulgarien	PROPN	Z2
bulgare	NOUN	Z2/S2mf
bulgarsk	ADJ	Z2 Z2/Q3
bulgarere	NOUN	Z2/S2mf
burma	PROPN	Z2
burmesisk	ADJ	Z2 Z2/Q3 Z2/S2mfnc
burmeser	PROPN	Z2/S2mf
burmeser	NOUN	Z2/Q3
burundi	PROPN	Z2
burundisk	ADJ	Z2
burundier	PROPN	Z2/S2mf
bush	PROPN	Z3c Z1mf
busham	PROPN	Z2
bushey	PROPN	Z2 Z1mf
busmand	NOUN	M7/S2.2m I3.2/M3/S2mf
busmænd	NOUN	M7/S2.2m
businessweek	NOUN	Z3/Q4.2
forretningsfolk	NOUN	I2.1/S2mf
bussell	PROPN	Z1m
buster	PROPN	Z1m
slagtning	NOUN	L1- F1 S7.1+
butland	PROPN	Z2 Z1mf Z3c
butler	PROPN	Z1mf Z3c
butlers	PROPN	Z3c
butlin	PROPN	Z1mf
butlins	PROPN	Z3c
buxton	PROPN	Z2 Z1mf
bx	PROPN	Z3
byefleet	PROPN	Z2 Z3c
hviderusland	PROPN	Z2
byfield	PROPN	Z1mf
byfleet	PROPN	Z2 Z3c
bynam	PROPN	Z2
bynar	PROPN	Z2
byrds	PROPN	Z3c
byzantinsk	ADJ	Z2/T1.1.1 C1
c	SYM	Z5 K2 P1/A5.1 Y2 O4.6
c#	NOUN	Y2
kom	VERB	Z4 M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2
c-program	NOUN	Y2
c.v.	NOUN	Q1.2
c1	X	S5+
c2s	PROPN	Z3
c90	PROPN	Z3fn
c90	SYM	K3
c90	NOUN	K3
c90s	SYM	K3
cab	PROPN	Z3c
cad	NOUN	Y2/G2.1
cadu	PROPN	Z3c
calus	PROPN	Z3c
cams	NOUN	P1
cap	PROPN	P1
capd	NOUN	B3
capitb	PROPN	Z3c
cat	PROPN	Z3
cat84	PROPN	Z3
cats	PROPN	X2.4/A5/P1
cb	NOUN	Q1.3
cbcp	NOUN	P1
cbcps	NOUN	P1
cbd	PROPN	Z3c
cbi	PROPN	Z3c
cc	NUM	N3.4
ccf	PROPN	Z3c
ccoa	PROPN	Z3c
ccp	PROPN	G1.2/Z3
ccpr	PROPN	Z3
cct	PROPN	Z3c
cct	NOUN	I2.1 Q4.3
ccta	PROPN	Z3c
cctv	NOUN	Q4.3
cd	NOUN	K3
cd-rom	NOUN	Y2
cdc	PROPN	Z3c
cdcs	PROPN	Z3c
cdp	NOUN	Z3c
cdq	PROPN	A5.1/I2.2
cdr84	NOUN	G2.1/M1
cdrc	PROPN	Z3c
ce	PROPN	Z3
cedaw	PROPN	Z3
cedaw79	PROPN	Z3
ceec	PROPN	Z3c
cef	PROPN	Z3c
celt	PROPN	P1/Z3c
ceo	NOUN	S7.1+/S2mf
ceos	NOUN	S7.1+/S2mf
cerd	PROPN	Z3
cerd65	PROPN	Z3
cescr	PROPN	Z3
cet	NOUN	C1
cfc	NOUN	O1/W5
cfe	NOUN	P1c
cge	PROPN	Z3c
cgt14	NOUN	I1/Q1.2
ch	PROPN	Z3c
cha	PROPN	Z3c
ci	PROPN	Z3c
cia	PROPN	Z3c
cic	PROPN	Z3
cid	NOUN	G2.1c
cif	PROPN	Z3c
cii	PROPN	Z3c
cimb	PROPN	Z3c
cipfa	PROPN	Z3c
cis	PROPN	Z3c Z2c
citb	PROPN	Z3c
ciu	PROPN	Z3c
cj	PROPN	Z3c
cjs	PROPN	Z3c
cls	PROPN	Z3
cmg	PROPN	Z3c
cmsr	NOUN	G3
cna	PROPN	Z3c
cna	NOUN	Z3c
cnc	NOUN	O2
cnd	PROPN	Z3c
cnp	PROPN	Z3c/Q4.3
co2	PROPN	O1.3
coc	PROPN	Z3c
cohse	PROPN	Z3c
cp	PROPN	P1
cpa	NOUN	B2- I2.1/S2mf@
cpc	PROPN	Z3c
cpe	NOUN	P1
cpm	NOUN	B3/S2mf
cpo	NOUN	S7.1+/S2mf
cpsa	PROPN	Z3c
cpve	NOUN	P1
crc	PROPN	Z3
crc89	PROPN	Z3
crn	PROPN	Z3c Z0
cro	NOUN	G2.1c
crs61	PROPN	Z3
crx	PROPN	Z3
csa	PROPN	Z3c
csce	PROPN	Z3
cses	NOUN	P1
csfb	PROPN	Z3
cso	PROPN	Z3c
csr51	NOUN	G2.1/M1
csrp67	NOUN	G2.1/M1
cssp54	PROPN	Z3
csv	PROPN	Z3c
csys	NOUN	P1
ct	NOUN	B3
cta	PROPN	Z3
ctd	PROPN	M1/Q1.1
ctg	PROPN	Z3c
cto	NOUN	S7.1+/S2mf
cu	PROPN	Z3c
cv	NOUN	Q1.2
cvt	NOUN	M3/P1
cvs	NOUN	Q1.2
cwc93	PROPN	Z3
cx500	X	Z3
cabaret	PROPN	Z3
caboc	NOUN	F2 A4.1
cadaball	PROPN	Z1mf
cæsar	PROPN	Z1m/T1.1.1
kairo	PROPN	Z2
calais	PROPN	Z2
kalkutta	PROPN	Z2
kaledonisk	ADJ	Z2
kaledonier	NOUN	Z2 Z2/S2mf
calgary	PROPN	Z2
kalifornien	PROPN	Z2
kalifornisk	ADJ	Z2
kalifornier	NOUN	Z2/S2mf
caligula	PROPN	Z1m
tilkald	NOUN	Q1.3
calvados	PROPN	Z2 F2
kalvariebjerget	PROPN	Z2
calvinist	NOUN	S9/S2mf
cambodja	PROPN	Z2
kambodjansk	ADJ	Z2
kambodjaner	NOUN	Z2/S2mf
kambodjanere	NOUN	Z2/S2mf
cambridge	PROPN	Z2
kamelia	NOUN	L3
camembert	NOUN	F1
kamerun	PROPN	Z2
canada	PROPN	Z2
canadisk	ADJ	Z2
canadier	NOUN	Z2/S2mf
canadiere	NOUN	Z2/S2mf
cannes	PROPN	Z2
kajakroer	NOUN	M4/S2mf
kantate	NOUN	K2
canterbury	PROPN	Z2 Z1mf
kantonesisk	PROPN	Z2
kantonesisk	ADJ	Z2 Z2/Q3 Z2/S2mfnc
kantoneser	NOUN	Z2/S2c Z2/Q3
kløft	NOUN	W3 A6.1- N3.3 T1.3 A9- B1%
kaprifolie	NOUN	L3 G2.2-
kappucin	NOUN	S9/S2mf
kardemomme	NOUN	F1
cardiff	PROPN	Z2
caribisk	ADJ	Z2
caribisk	PROPN	Z2 Z2/S2mf
carl	PROPN	Z1m
carla	PROPN	Z1f
carlisle	PROPN	Z2 Z1mf
carlo	PROPN	Z1m
carlsberg	PROPN	Z3c
carlsholm	PROPN	Z3c
carlton	PROPN	Z3c Z1mf
carmel	PROPN	Z2 Z1f
karmelitt	NOUN	S9/S2mf
carmen	PROPN	Z1f Z3
carmichael	PROPN	Z1mf
carmichaels	PROPN	Z3c
carmogal	PROPN	Z3c
carnaby	PROPN	Z2 Z1mf
carnac	PROPN	Z2
carne	PROPN	Z1mf
carnegie	PROPN	Z1mf Z3c
carnegy	PROPN	Z1mf Z3c
carnes	PROPN	Z2
carol	PROPN	Z1f
carole	PROPN	Z1f
carolina	PROPN	Z2
caroline	PROPN	Z1f
carolyn	PROPN	Z1f
carpenter	PROPN	Z1mf
carpenters	PROPN	Z3c
carphone	PROPN	Z3c
carr	PROPN	Z1mf
karré	NOUN	Z1mf
carrick	PROPN	Z2
carrie	PROPN	Z1f
carrite	PROPN	Z3
carrot	PROPN	Z1mf
cashalton	PROPN	Z2 Z3c
carter	PROPN	Z1
carters	PROPN	Z3c
cartland	PROPN	Z1mf
carwithen	PROPN	Z2
casablanca	PROPN	Z2 Z3
casbalitz	PROPN	Z1mf
vandfald	NOUN	O4.4 M1/N3.8+ O1.2/W3 N5+
cascade	PROPN	Z3c
cascine	PROPN	Z2
kashmir	NOUN	O1.1
casino	NOUN	K5.2/H1c
casio	PROPN	Z3
caspar	NOUN	Z1m
casper	PROPN	Z1m
cassandra	PROPN	Z1f
cassie	PROPN	Z1f
cassius	PROPN	Z1m
castle	PROPN	Z1mf
castlebrook	PROPN	Z2 Z3c
castleton	PROPN	Z2 Z3c
castro	PROPN	Z1mf
castrol	PROPN	Z3c
casualty	PROPN	Z3c
katalanere	PROPN	Z2/S2mf
catch-22	NOUN	A12-
catdown	PROPN	Z2
caterina	PROPN	Z1f
catford	PROPN	Z2
cath	PROPN	Z1f
cathay	PROPN	Z3c
cathcar	PROPN	Z3c
